attempt_id,hold_mean_ms,hold_std_ms,down_down_mean_ms,down_down_std_ms,up_down_mean_ms,up_down_std_ms,up_up_mean_ms,down_up_mean_ms,chars_per_second,backspace_count,repeat_count,composition_ratio,keyup_coverage,timing_coverage,text_length
4090e424-3e35-4af3-8c99-2a2b86bd5489,153.65291262020185,33.5050244955612,219.1651960786651,626.4742047557648,65.55147058940402,628.7101201999326,219.2014705877678,372.81519607702893,1.125867341981848,3.0,0.0,0.27986906710310966,1.0,1.0,73.0
2ea3a747-6059-4d9d-aa05-fbf3646f75f8,113.17149532662931,38.63128702285442,190.50305164322046,516.3237288047256,77.32347417892144,517.253826108755,190.4380281690001,303.6176056332991,0.9979315600390116,47.0,6.0,0.25300171526586623,1.0,1.0,99.0
08e8fffb-753b-4680-adc0-5ca19131456b,114.04171122977121,27.30900956618573,119.65978552277222,112.43046485931757,5.515817694545751,116.07664030858304,119.56407506704011,233.70804289526657,2.706390212261513,24.0,0.0,0.2595025809479118,1.0,1.0,121.0
07c67473-bcfe-4d77-af96-298f0da5458c,115.49442379171077,23.79233902860803,145.93246268658942,383.61858957553505,30.285074626999116,386.68668552481387,145.74029850748494,261.3876865670752,2.092669531752114,14.0,0.0,0.26739690721649484,1.0,1.0,82.0
9ffea7df-c9be-4400-9d44-163441913337,16.776978417266186,5.755251796762734,181.90579710144934,137.43730521566687,165.17391304347825,136.48586023507482,181.84057971014494,198.572463768116,2.1491681923107535,10.0,0.0,0.0,1.0,0.6,54.0
bd93a2ce-1a3f-4166-8443-44cece9446fb,21.813725490196365,37.7285792730639,184.54455445544554,119.07685551714424,162.6831683168314,123.53537439371507,184.5049504950495,206.36633663366365,2.3048885077186965,5.0,0.0,0.0,1.0,0.6,43.0
54a6b0fb-b7e2-40c8-a490-46f3eea51a7e,18.5,25.780076005329892,187.6131386861315,155.33900991881316,169.05839416058393,156.46033365099353,187.46715328467153,206.0218978102191,2.0222446916076846,11.0,0.0,0.0,1.0,0.6,52.0
ed27ed48-caac-40f4-8ded-401b3c495705,62.67839195979889,442.03866686120296,290.43324937027705,603.4188270255056,268.0610687022902,605.2769108137627,331.2824427480915,353.21914357682607,1.5261747643534136,26.0,0.0,0.0,1.0,0.6,176.0
8803d5f2-a5ab-4031-a57f-1ab593a42dbf,36.73464912280733,143.95033631691896,245.5956043956044,338.6818001294429,211.80837004405242,350.35638975454356,248.62995594713644,282.36263736263766,1.7625007828366421,20.0,0.0,0.0,1.0,0.6,197.0
27cd0d13-8c83-4433-8413-3dca47b7fd62,3.845967741262528,1.1560778513458185,121.48780487804878,60.91916620111108,117.62764227705273,60.83585311735516,121.46504065030959,125.32520325130564,3.613224401310231,0.0,0.0,0.26053639846743293,1.0,0.7042145593869732,54.0
cfc5e96c-9a2e-426a-bbeb-38559a9af346,3.835433070467213,1.1835172164833108,141.05555555555554,98.35891076191734,137.20476190509305,98.4514664551593,141.0230158729449,144.87380952340743,2.475400705490446,3.0,0.0,0.2640449438202247,1.0,0.7056179775280899,44.0
3169c77f-e6c8-4749-b8c4-b5ee5e44594c,3.8823999998569487,1.3297256255435768,185.20887096779,327.98157108260256,181.31209677433776,327.90099007069745,185.18548387096774,189.08225806442,2.3075583420411006,1.0,0.0,0.25996204933586337,1.0,0.7039848197343453,53.0
875aecd2-3379-4618-9cd5-1e2f339c3afc,27.113970588235937,49.79662561328533,258.8191881918819,413.11925737325043,231.64575645756392,417.1265702619798,258.77859778597787,285.95202952029587,1.168907071887785,35.0,0.0,0.0,1.0,0.6,82.0
63b0f298-c409-42ce-9450-f0a8592bd56b,3.8555844158708275,1.1966082948355594,197.20729166665114,254.74387034442196,193.34791666637952,254.86374207931885,197.2015625000155,201.06093750028717,2.3240459527267925,9.0,0.0,0.25766871165644173,1.0,0.7030674846625766,176.0
55ecc753-632f-479d-b07b-e5af7025b191,18.601990049750086,22.995798794751625,247.63000000000028,383.5979054948066,229.01500000000115,384.1964663749564,247.625,266.2399999999991,1.7964555326793428,7.0,0.0,0.0,1.0,0.6,89.0
32cd2b3c-91f6-4c80-a3f2-b6d35163eaf2,19.79020979020979,30.392272929184763,219.7887323943662,335.7387027030979,199.96478873239437,337.535525766596,219.66197183098592,239.48591549295776,1.8574859887910327,8.0,0.0,0.0,1.0,0.6,58.0
0bf5c7bf-77b7-4cbf-aed5-5c0c3260b600,3.7979683974257443,1.065854368308009,169.55226244345914,173.39627529635987,165.75226244330406,173.35474889829604,169.55045248868103,173.3504524888361,2.6152511842017483,3.0,0.0,0.26033934252386004,1.0,0.704135737009544,196.0
b3de7d73-055a-4003-b764-95f691678e4a,3.5557251909875687,1.264950912306205,185.01230769237645,254.7703350425605,181.4496153845237,254.9043829031992,185.00538461540754,188.56807692326032,0.6225413556586499,24.0,0.0,0.24908088235294118,1.0,0.6996323529411764,79.0
e57657ee-9b1f-4d1f-b285-753d72f83f8a,3.755588235793745,1.4554152253674786,164.74159292037157,156.23644458984538,160.9811209434517,156.36159683577634,164.73126843659574,168.49174041351563,2.3276842227772856,6.0,0.0,0.2630844382414515,1.0,0.7052337752965806,130.0
ff4bfb36-2e2a-4b29-81c2-c497589e8682,3.578113207558416,1.04926399499271,133.5098484848259,77.78147746325257,129.92424242424244,77.80253522883167,133.50189393939394,137.0874999999774,3.035616003086426,3.0,0.0,0.25965858041329737,1.0,0.703863432165319,107.0
79279849-0ae9-49a4-8b01-d69e4b39b1ba,211.46074074639213,315.0406556013092,113.7708955220322,123.83686056029443,-35.23307087477737,183.83383504828456,154.39923076996436,326.0455223926857,3.6001125853502693,12.0,10.0,0.293888166449935,0.9782608695652174,0.9782608695652174,55.0
1b328e98-f097-4cdb-b795-bed08feb8632,386.91150444587777,868.7881620941882,108.01517856972558,78.65335137111167,-12.750980414596258,132.62752706421873,278.8179245265025,497.59375002128735,3.6041349257619824,1.0,0.0,0.3099688473520249,0.9416666666666667,0.9416666666666667,44.0
1d94c5f2-a4f9-4814-9f08-c75415a6bb18,496.0514084503684,1285.6236378758651,106.8737588638955,71.55434145033337,-9.56428571352883,102.39658699833784,308.2370370335049,605.5921985798693,3.492149253174203,2.0,0.0,0.30807453416149067,0.9466666666666667,0.9466666666666667,53.0
c97b499a-d6c5-446f-8487-edc9e3e36898,571.3988426106947,1471.4886475687888,181.35927601799168,245.9629042893178,65.45078532296326,275.9387302796727,503.6355000013113,755.1343387650227,2.206113301993359,23.0,0.0,0.2669902912621359,0.9822616407982262,0.9822616407982262,177.0
a9c1370a-b7c7-498e-bbbc-2e8f1933d75b,508.235839158505,1401.1830512507145,168.69693356031453,220.40574715940417,37.53930636178092,252.27439863779782,440.4994464945529,663.1694736819518,1.978037726025513,31.0,1.0,0.2807994757536042,0.98,0.98,196.0
922e7a6e-633a-4a40-bd64-ece27bb3f914,613.7507874214743,1666.5182793247234,140.23952569226503,274.07885080770944,16.30315313253317,167.9741280403173,472.69999999673956,755.9434782808477,2.5848287410513864,12.0,1.0,0.3035075161059413,0.9694656488549618,0.9694656488549618,92.0
a1d69dd9-cdc1-45af-8a98-c19ff99393f4,415.1557268770781,1009.0359418463219,145.42693156753944,201.30938009319982,26.681081078269266,198.11362215564003,359.0606557401617,561.3262693208311,2.0093651299212087,32.0,10.0,0.29836734693877554,0.9869565217391304,0.9869565217391304,135.0
aca0ae72-61dc-4e5b-80fc-b4c641923e9e,366.65844593821345,1067.5548317393798,135.75694915318894,160.90099391078707,27.04801444800752,155.11979662838309,279.8533333318275,503.3071186364707,1.5726580097819336,45.0,26.0,0.28721432983323036,0.9801324503311258,0.9801324503311258,65.0
6ae951e8-7d3b-4d17-a5ea-cac81d137003,129.39485294678633,35.620950378115026,143.4474074072308,180.1939370146402,13.84740740193261,185.965022522695,143.27111111128772,272.8711111165859,2.773910854720727,4.0,0.0,0.27373612823674476,1.0,1.0,54.0
14401f8f-d393-4166-a237-82bf10376f30,126.09339622506556,30.399494994339342,97.39047619047619,52.95178133395494,-29.152380951245625,64.75484919331095,97.19809523764111,223.74095237936294,4.2698133897565045,0.0,0.0,0.2836767036450079,1.0,1.0,44.0
fcecaa92-be1e-4b90-899a-82d056d35f48,114.17925925872945,30.607341400752976,102.77014925319757,66.25880175925569,-11.66268656680833,78.29087428769697,102.38432835820896,216.81716417821485,3.8263280246105973,1.0,0.0,0.2834158415841584,1.0,1.0,53.0
46afab88-0dc2-43e3-a35b-adb5517cc4f3,133.45079787107224,175.5019362538144,148.16933333333333,126.85393571590434,28.882795700462914,133.53068583189378,162.6309139792637,281.75493333212535,3.162100784773213,0.0,0.0,0.255358807082945,1.0,1.0,176.0
53440805-403b-43b7-9aa8-a8508a7b8615,117.71361940254026,66.87497399359435,131.8917757007563,125.82822948022704,14.1263551404543,125.24156873351495,131.88224299065422,249.64766355095622,2.8024644702743053,10.0,0.0,0.2601518653020799,1.0,1.0,198.0
1b923e4b-7a4f-4e59-a091-0056760a23c3,116.81189426714103,31.425315832588804,219.616814159714,385.5624204588614,102.52256637811661,392.86369945478543,219.30973451327435,336.40398229487175,1.4289624524993503,5.0,0.0,0.2748091603053435,1.0,1.0,71.0
715b74df-6170-46a1-8426-78d2e1fb223c,117.98767772726538,69.22362511956428,311.1452380952381,987.0055738710738,193.094285711788,994.1659257751734,311.089047618707,429.14000000215714,0.92923506254735,11.0,0.0,0.27055921052631576,1.0,1.0,63.0
155e4ada-b340-49f3-8ca3-02691cd287d8,108.53796296318372,30.068718265110952,168.05906976766366,266.1056927647292,59.508837209191434,272.9842732785465,168.1,276.6502325584722,2.2351856859797756,6.0,0.0,0.2693522906793049,1.0,1.0,81.0
9acc0964-1f84-4326-8dfd-908353fd1331,285.65032258063195,551.1677864520913,90.44415584415222,52.536575987516805,-37.341134751757195,169.4956682937615,222.38819444444056,377.1707792207659,3.857308170350312,10.0,0.0,0.29534883720930233,0.96875,0.96875,54.0
b9bf1a28-3f1a-42b0-b3ac-7447756abee6,300.060360360211,570.4600489409559,101.09727272727442,86.51996664887496,-26.920202020057147,177.532128251672,215.7740384615295,403.16090909075837,3.9286415828854744,1.0,0.0,0.30537974683544306,0.9568965517241379,0.9568965517241379,44.0
e3175d04-7bba-41c9-a15d-1d15fad08146,203.0194029849815,351.0568307689173,95.33684210526175,63.625636146012724,-42.77086614164722,179.8344409702728,148.7131782945881,298.92330827058424,4.153702673260282,2.0,0.0,0.30423280423280424,0.9710144927536232,0.9710144927536232,53.0
df9732e5-41a1-4bb6-9f3f-f8c7b29ef3b6,593.7142517815196,1544.5111239040384,141.4344262295082,199.2690625928907,30.718108108060786,183.3927788130205,451.4223076922986,736.3054761905246,2.9108374115378677,25.0,15.0,0.25756227758007116,0.9749430523917996,0.9749430523917996,176.0
26a06e80-5e0f-4931-b977-f506e67d16d5,552.7525096524662,1506.687656173617,114.9075329566862,121.55871110113907,-4.0042826552023785,151.62639331864096,416.0872950819741,669.7545454545033,3.2244389558055255,24.0,0.0,0.27811068029608743,0.9725776965265083,0.9725776965265083,197.0
11c23c63-d8df-4376-b19e-2846c46945ea,615.7513586955788,1449.672790253899,104.98038147138914,72.53525232861458,-12.05468749992142,118.15063945247768,436.52058823530507,722.1272479563302,3.238367137568411,13.0,0.0,0.2976190476190476,0.9608355091383812,0.9608355091383812,125.0
8f79d2cb-28ad-4074-8ded-f64b5da5c20c,419.5198689957259,1297.3166555379553,119.42937365010759,157.05889198603396,3.968009478575881,130.16524330361355,341.84861751151385,539.8422319475782,2.7797984465620225,25.0,2.0,0.2971271153089335,0.9830508474576272,0.9830508474576272,154.0
47b75058-b9a4-41d5-9fbd-380d1727fed0,505.9371830985344,1337.302200268436,109.12966101695021,83.01534026367159,-11.277639751490321,113.6273250725023,353.6752238806059,616.1802259886422,2.995264383724295,17.0,1.0,0.2977296181630547,0.9673024523160763,0.9673024523160763,116.0
c26d8841-b4ec-40d2-bed4-227b3b80848d,157.65471697603382,310.51939662629775,128.6848101268841,282.1692586559333,19.324836606293722,331.06397488743227,180.48300653501275,286.78544303284417,2.443151484451286,8.0,0.0,0.3033175355450237,0.9875776397515528,0.9875776397515528,54.0
