attempt_id,participant_id,participant_code,session_id,session_no,input_mode,role_label,status,quality_status,device_class,prompt_id,prompt_set_id,started_at,ended_at,submitted_at,raw_text_length,event_count,paired_key_count,keyup_coverage,paste_count,fixed_prompt_match
cfc5e96c-9a2e-426a-bbeb-38559a9af346,c720265e-1388-4797-a3da-e212ba3ca9b9,A001_1,c53236bd-cd6d-4fc9-bc25-2fcbed515547,1,fixed,genuine,submitted,usable,mobile,ko_fixed_002,pilot_fixed_ko_v1,2026-05-08T14:10:42.890Z,2026-05-08T14:11:04.149Z,2026-05-08T14:11:04.149Z,44.0,534.0,127.0,1.0,0,1.0
3169c77f-e6c8-4749-b8c4-b5ee5e44594c,c720265e-1388-4797-a3da-e212ba3ca9b9,A001_1,c53236bd-cd6d-4fc9-bc25-2fcbed515547,1,fixed,genuine,submitted,usable,mobile,ko_fixed_003,pilot_fixed_ko_v1,2026-05-08T14:11:06.002Z,2026-05-08T14:11:34.581Z,2026-05-08T14:11:34.581Z,53.0,527.0,125.0,1.0,0,1.0
63b0f298-c409-42ce-9450-f0a8592bd56b,c720265e-1388-4797-a3da-e212ba3ca9b9,A001_1,c53236bd-cd6d-4fc9-bc25-2fcbed515547,1,fixed,genuine,submitted,low_quality,mobile,ko_fixed_004,pilot_fixed_ko_v1,2026-05-08T14:11:35.564Z,2026-05-08T14:12:56.705Z,2026-05-08T14:12:56.705Z,176.0,1630.0,385.0,1.0,0,0.0
55ecc753-632f-479d-b07b-e5af7025b191,470d93ae-d92d-4951-a455-107abf5524e2,M001_1,f87e25a2-6ad9-46eb-9624-f7c39b0b2143,1,free,genuine,submitted,usable,mobile,ko_free_suggestion_002,pilot_free_suggestions_ko_v1,2026-05-08T14:11:56.196Z,2026-05-08T14:12:58.238Z,2026-05-08T14:12:58.238Z,89.0,934.0,201.0,1.0,0,
1778249560274-0.19964821182028913,a1b7756a-bdce-4755-9826-4c8e1b86d3e2,TEST,0b96f046-9152-470a-ba1f-23dc496d4c69,1,fixed,genuine,in_progress,,desktop,ko_fixed_001,pilot_fixed_ko_v1,2026-05-08T14:12:40.274Z,,,0,,,,0,
32cd2b3c-91f6-4c80-a3f2-b6d35163eaf2,470d93ae-d92d-4951-a455-107abf5524e2,M001_1,f87e25a2-6ad9-46eb-9624-f7c39b0b2143,1,free,genuine,submitted,low_quality,mobile,ko_free_suggestion_003,pilot_free_suggestions_ko_v1,2026-05-08T14:12:59.331Z,2026-05-08T14:13:51.559Z,2026-05-08T14:13:51.559Z,58.0,651.0,143.0,1.0,0,
0bf5c7bf-77b7-4cbf-aed5-5c0c3260b600,c720265e-1388-4797-a3da-e212ba3ca9b9,A001_1,c53236bd-cd6d-4fc9-bc25-2fcbed515547,1,fixed,genuine,submitted,low_quality,mobile,ko_fixed_005,pilot_fixed_ko_v1,2026-05-08T14:12:59.737Z,2026-05-08T14:14:19.446Z,2026-05-08T14:14:19.446Z,196.0,1886.0,443.0,1.0,0,0.0
b3de7d73-055a-4003-b764-95f691678e4a,c720265e-1388-4797-a3da-e212ba3ca9b9,A001_1,c53236bd-cd6d-4fc9-bc25-2fcbed515547,1,free,genuine,submitted,low_quality,mobile,ko_free_suggestion_001,pilot_free_suggestions_ko_v1,2026-05-08T14:14:20.640Z,2026-05-08T14:16:37.484Z,2026-05-08T14:16:37.484Z,79.0,1088.0,262.0,1.0,0,
e57657ee-9b1f-4d1f-b285-753d72f83f8a,c720265e-1388-4797-a3da-e212ba3ca9b9,A001_1,c53236bd-cd6d-4fc9-bc25-2fcbed515547,1,free,genuine,submitted,usable,mobile,ko_free_suggestion_002,pilot_free_suggestions_ko_v1,2026-05-08T14:16:38.192Z,2026-05-08T14:17:39.049Z,2026-05-08T14:17:39.049Z,130.0,1433.0,340.0,1.0,0,
ff4bfb36-2e2a-4b29-81c2-c497589e8682,c720265e-1388-4797-a3da-e212ba3ca9b9,A001_1,c53236bd-cd6d-4fc9-bc25-2fcbed515547,1,free,genuine,submitted,usable,mobile,ko_free_suggestion_003,pilot_free_suggestions_ko_v1,2026-05-08T14:17:39.863Z,2026-05-08T14:18:19.552Z,2026-05-08T14:18:19.552Z,107.0,1113.0,265.0,1.0,0,
79279849-0ae9-49a4-8b01-d69e4b39b1ba,c86238f3-a5d3-41fc-b5c2-a9705a8ab594,A003,e74846a9-1f2f-47af-82fe-5ef25dd468b3,1,fixed,genuine,submitted,usable,desktop,ko_fixed_001,pilot_fixed_ko_v1,2026-05-11T02:27:11.541Z,2026-05-11T02:27:33.983Z,2026-05-11T02:27:33.983Z,55.0,769.0,135.0,0.9782608695652174,0,1.0
1b328e98-f097-4cdb-b795-bed08feb8632,c86238f3-a5d3-41fc-b5c2-a9705a8ab594,A003,e74846a9-1f2f-47af-82fe-5ef25dd468b3,1,fixed,genuine,submitted,usable,desktop,ko_fixed_002,pilot_fixed_ko_v1,2026-05-11T02:27:35.913Z,2026-05-11T02:27:51.296Z,2026-05-11T02:27:51.296Z,44.0,642.0,113.0,0.9416666666666667,0,1.0
1d94c5f2-a4f9-4814-9f08-c75415a6bb18,c86238f3-a5d3-41fc-b5c2-a9705a8ab594,A003,e74846a9-1f2f-47af-82fe-5ef25dd468b3,1,fixed,genuine,submitted,usable,desktop,ko_fixed_003,pilot_fixed_ko_v1,2026-05-11T02:27:52.696Z,2026-05-11T02:28:10.623Z,2026-05-11T02:28:10.623Z,53.0,805.0,142.0,0.9466666666666667,0,1.0
