dataset,source_dataset,feature_mode,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,genuine_training_samples,evaluated_subjects,EER,completed_at
mmc,mmc,current,Device-Aware Template kNN,31,train_and_infer,185.82216600225365,61.879958000645274,123.94220800160838,0.12394220800160838,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,32,train_and_infer,183.48141599926748,60.78125000021828,122.7001659990492,0.1227001659990492,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,33,train_and_infer,187.18787499892642,62.85866699909093,124.32920799983549,0.12432920799983549,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,34,train_and_infer,186.51983299969288,62.54254200030118,123.9772909993917,0.1239772909993917,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,35,train_and_infer,185.49433299995144,61.45633300002373,124.0379999999277,0.1240379999999277,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,36,train_and_infer,187.2065419993305,63.12766699920758,124.07887500012293,0.12407887500012293,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,37,train_and_infer,191.04383300145855,61.972125000465894,129.07170800099266,0.12907170800099266,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,38,train_and_infer,282.357874999434,67.24362499880954,215.11425000062445,0.21511425000062445,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,39,train_and_infer,294.797541000662,62.148000000888715,232.6495409997733,0.2326495409997733,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,40,train_and_infer,183.3762080004817,60.83941600081744,122.53679199966427,0.12253679199966427,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,41,train_and_infer,183.44662500203412,60.257417000684654,123.18920800134947,0.12318920800134947,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,42,train_and_infer,183.76770899885742,61.042499999530264,122.72520899932715,0.12272520899932715,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,43,train_and_infer,185.75179199797276,61.60691699915333,124.14487499881943,0.12414487499881943,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,44,train_and_infer,185.03941700146243,61.27845800074283,123.7609590007196,0.1237609590007196,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,45,train_and_infer,184.00041699896974,61.00941699878604,122.9910000001837,0.1229910000001837,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,46,train_and_infer,188.2249589980347,62.87054199856357,125.35441699947114,0.12535441699947114,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,47,train_and_infer,255.38595799844188,63.05541699839523,192.33054100004665,0.19233054100004665,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,48,train_and_infer,193.16470800004026,64.29237500015006,128.8723329998902,0.1288723329998902,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,49,train_and_infer,256.9217079999362,61.62870799926168,195.2930000006745,0.1952930000006745,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,50,train_and_infer,216.94712599855848,63.3144169987645,153.63270899979398,0.15363270899979398,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Device-Aware Template kNN,all,data_efficiency,6816.6117500004475,,,,,,1.0,50.0,0.40797959183673477,
mmc,mmc,current,Device-Aware Template kNN,all,data_efficiency,6924.416500000007,,,,,,2.0,50.0,0.40091836734693875,
mmc,mmc,current,Device-Aware Template kNN,all,data_efficiency,8254.972624999937,,,,,,5.0,50.0,0.40623469387755107,
mmc,mmc,current,Device-Aware Template kNN,all,data_efficiency,9201.235250000536,,,,,,10.0,50.0,0.4054795918367347,
mmc,mmc,current,Device-Aware Template kNN,all,data_efficiency,13454.449042001215,,,,,,20.0,50.0,0.4208571428571429,
mmc,mmc,current,PCA Mahalanobis Distance,1,train_and_infer,118.91091700090328,118.82579200027976,0.08512500062352046,8.512500062352046e-05,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,2,train_and_infer,101.14316600083839,100.50970799966308,0.6334580011753133,0.0006334580011753133,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,3,train_and_infer,99.87325000111014,99.2971249997936,0.5761250013165409,0.0005761250013165409,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,4,train_and_infer,96.86816700195777,96.6387090011267,0.22945800083107315,0.00022945800083107315,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,5,train_and_infer,94.51466599966807,93.88899999976275,0.6256659999053227,0.0006256659999053227,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,6,train_and_infer,97.83991599942965,97.24216599897773,0.5977500004519243,0.0005977500004519243,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,7,train_and_infer,95.81629199965391,95.70979199997964,0.10649999967426993,0.00010649999967426993,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,8,train_and_infer,100.0809590004792,99.80162500141887,0.2793339990603272,0.0002793339990603272,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,9,train_and_infer,92.36691699879884,92.27512500001467,0.09179199878417421,9.179199878417421e-05,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,10,train_and_infer,99.40387500137149,98.75129200008814,0.6525830012833467,0.0006525830012833467,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,11,train_and_infer,95.78495799905795,95.71354199943016,0.07141599962778855,7.141599962778855e-05,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,12,train_and_infer,101.90425000109826,101.66012500121724,0.24412499988102354,0.00024412499988102354,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,13,train_and_infer,98.14774900041812,98.07283299960545,0.0749160008126637,7.49160008126637e-05,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,14,train_and_infer,97.5572919996921,97.31908399953682,0.2382080001552822,0.0002382080001552822,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,15,train_and_infer,98.84312500071246,98.54383300080372,0.2992919999087462,0.0002992919999087462,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,16,train_and_infer,95.53262500048731,95.37641699898813,0.15620800149918068,0.00015620800149918068,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,17,train_and_infer,97.43629200056603,97.32616700057406,0.11012499999196734,0.00011012499999196734,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,18,train_and_infer,97.52066700093565,96.88649999952759,0.6341670014080591,0.0006341670014080591,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,19,train_and_infer,95.5986250010028,95.0164580008277,0.5821670001751045,0.0005821670001751045,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,20,train_and_infer,102.72383300070942,102.62079200037988,0.10304100032954011,0.00010304100032954011,2033860608.0,2033860608.0,,,,
mmc,mmc,current,PCA Mahalanobis Distance,21,train_and_infer,104.01295899828256,103.38437499922293,0.6285839990596287,0.0006285839990596287,2033860608.0,2033860608.0,,,,
