dataset,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,genuine_training_samples,evaluated_subjects,EER,environmentId,perceived_latency_ms,worker_elapsed_ms,completed_at
mmc,1D-CNN TFJS,13,train_and_infer,1756.699999999255,1714.199999999255,42.5,0.0425,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,14,train_and_infer,1760.4000000003725,1719.300000000745,41.09999999962747,0.04109999999962747,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,15,train_and_infer,1751.699999999255,1714.5999999996275,37.09999999962747,0.03709999999962747,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,16,train_and_infer,1771.199999999255,1723.2999999988824,47.90000000037253,0.04790000000037253,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,17,train_and_infer,1758.7000000011176,1714.300000000745,44.40000000037253,0.04440000000037253,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,18,train_and_infer,1761.4000000003725,1719.2999999988824,42.100000001490116,0.04210000000149012,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,19,train_and_infer,1749,1703.2000000011176,45.79999999888241,0.045799999998882415,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,20,train_and_infer,1761.0999999996275,1723.7999999988824,37.30000000074506,0.03730000000074506,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,21,train_and_infer,1755.300000000745,1712.5999999996275,42.70000000111759,0.04270000000111759,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,22,train_and_infer,1767,1724.2000000011176,42.79999999888241,0.04279999999888241,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,23,train_and_infer,1763.0999999996275,1720.800000000745,42.29999999888241,0.04229999999888241,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,24,train_and_infer,1760.699999999255,1718.199999999255,42.5,0.0425,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,25,train_and_infer,1762.0999999996275,1719.5999999996275,42.5,0.0425,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,26,train_and_infer,1753,1715.2999999988824,37.70000000111759,0.03770000000111759,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,27,train_and_infer,1757.2000000011176,1713.5999999996275,43.600000001490116,0.04360000000149011,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,28,train_and_infer,1766.2999999988824,1723.4000000003725,42.899999998509884,0.04289999999850989,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,29,train_and_infer,1751.4000000003725,1709.0999999996275,42.30000000074506,0.04230000000074506,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,30,train_and_infer,1759.699999999255,1713.5999999996275,46.09999999962747,0.046099999999627474,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,31,train_and_infer,1746.7999999988824,1708.3999999985099,38.40000000037253,0.03840000000037253,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,32,train_and_infer,1763.4000000003725,1719.4000000003725,44,0.044,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,33,train_and_infer,1764.300000000745,1721.7000000011176,42.59999999962747,0.04259999999962747,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,34,train_and_infer,1757.7000000011176,1710.9000000003725,46.80000000074506,0.04680000000074506,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,35,train_and_infer,1751.5,1710.7000000011176,40.79999999888241,0.04079999999888241,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,36,train_and_infer,1758.5,1715.199999999255,43.30000000074506,0.043300000000745055,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,37,train_and_infer,1765.9000000003725,1727.9000000003725,38,0.038,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,38,train_and_infer,1756.199999999255,1711.5999999996275,44.59999999962747,0.04459999999962747,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,39,train_and_infer,1766.699999999255,1721.199999999255,45.5,0.0455,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,40,train_and_infer,1747.699999999255,1707.4000000003725,40.29999999888241,0.04029999999888241,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,41,train_and_infer,1754,1710.2000000011176,43.79999999888241,0.04379999999888241,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,42,train_and_infer,1767.5999999996275,1728.300000000745,39.29999999888241,0.03929999999888241,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,43,train_and_infer,1764,1723,41,0.041,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,44,train_and_infer,1758.300000000745,1708.9000000003725,49.40000000037253,0.04940000000037253,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,45,train_and_infer,1759.199999999255,1715,44.19999999925494,0.04419999999925494,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,46,train_and_infer,1765.0999999996275,1723,42.09999999962747,0.04209999999962747,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,47,train_and_infer,1765.5999999996275,1723.7999999988824,41.80000000074506,0.04180000000074506,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,48,train_and_infer,1778,1726.199999999255,51.80000000074506,0.051800000000745056,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,49,train_and_infer,1774.5,1736.0999999996275,38.40000000037253,0.03840000000037253,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,50,train_and_infer,1790.5999999996275,1742.3999999985099,48.20000000111759,0.048200000001117585,not_available,not_available,,,,,,,
mmc,1D-CNN TFJS,all,data_efficiency,107177.90000000037,,,,,,1,50,0.3369081632653062,,,,
mmc,1D-CNN TFJS,all,data_efficiency,109080.80000000075,,,,,,2,50,0.33410204081632655,,,,
mmc,1D-CNN TFJS,all,data_efficiency,106984.69999999925,,,,,,5,50,0.3181020408163264,,,,
mmc,1D-CNN TFJS,all,data_efficiency,107430.39999999851,,,,,,10,50,0.2961020408163266,,,,
mmc,1D-CNN TFJS,all,data_efficiency,99386.40000000037,,,,,,20,50,0.29432653061224495,,,,
mmc,,,,,,,,,,,,,d2f357871e71a48e,1299480.5999999996,1299480.5999999996,2026-05-13T04:50:19.300Z
