dataset,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,tf_num_tensors,tf_num_bytes
dsl,Scaled Manhattan Distance,browser_worker,s053,200,200,10000,10000,0.06,0.06,0.06,0.94,0.9804695,-28.627569719505093,0.09999999962747097,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s054,200,200,10000,10000,0.1552,0.155,0.15510000000000002,0.8448039215686275,0.9074745,-23.505868145686893,0.2000000011175871,0.00002941176459631499,0.2999999988824129,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s055,200,200,10000,10000,0.075,0.075,0.075,0.925,0.981584,-34.043953257496796,0.10000000149011612,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s056,200,200,10000,10000,0.2336,0.235,0.2343,0.7663725490196078,0.840385,-25.839886472147327,0.09999999962747097,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s057,200,200,10000,10000,0.245,0.245,0.245,0.755,0.8321135,-26.93728285341707,0.09999999962747097,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s002,200,200,10000,10000,0.14,0.14,0.14,0.86,0.9318855,0.01364985475703152,6701.0999999996275,0.012892156862745098,131.5,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s003,200,200,10000,10000,0.05,0.05,0.05,0.95,0.991457,0.05195092543693538,8243.699999999255,0.016235294117610537,165.59999999962747,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s004,200,200,10000,10000,0.03,0.03,0.03,0.97,0.9949695,0.06375595045494148,7629.199999999255,0.014696078431409071,149.90000000037253,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s005,200,200,10000,10000,0.023,0.025,0.024,0.9769607843137255,0.997364,0.05283104994736316,5400.0999999996275,0.012882352941212993,131.40000000037253,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s007,200,200,10000,10000,0.1341,0.135,0.13455,0.8658823529411764,0.9400505,0.012333975081716188,9650.799999998882,0.012980392156899268,132.40000000037253,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s008,200,200,10000,10000,0.0862,0.085,0.08560000000000001,0.9138235294117647,0.9662405,0.020014963599977818,9103.900000000373,0.013107843137181857,133.69999999925494,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s010,200,200,10000,10000,0.0036,0.005,0.0043,0.9963725490196078,0.99989,0.05384172767682617,6721.5,0.009843137254938484,100.40000000037253,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s011,200,200,10000,10000,0.0214,0.02,0.0207,0.9786274509803922,0.9990765,0.09352846715066866,8274.299999998882,0.014950980392156863,152.5,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s012,200,200,10000,10000,0.02,0.02,0.02,0.98,0.998077,0.17711756300746107,6436,0.013735294117610536,140.09999999962747,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s013,200,200,10000,10000,0.0638,0.065,0.0644,0.9361764705882353,0.978726,0.0050202340630501234,8898.89999999851,0.010470588235367163,106.80000000074506,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s015,200,200,10000,10000,0.05,0.05,0.05,0.95,0.991273,0.011810756673333575,8755.900000000373,0.011803921568481361,120.39999999850988,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s016,200,200,10000,10000,0.0853,0.085,0.08515,0.9147058823529411,0.9788365,0.002081003387589172,4825.5,0.01187254901957132,121.09999999962747,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s017,200,200,10000,10000,0.0206,0.02,0.0203,0.9794117647058823,0.998052,0.008525266311756458,7192.5999999996275,0.008911764705918875,90.90000000037253,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s018,200,200,10000,10000,0.025,0.025,0.025,0.975,0.993422,0.03252989384638257,7732.9000000003725,0.01359803921561323,138.69999999925494,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s019,200,200,10000,10000,0.0094,0.01,0.0097,0.9905882352941177,0.9997875,0.03563576848846323,6021.5999999996275,0.01300000000014609,132.60000000149012,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s020,200,200,10000,10000,0.0771,0.075,0.07605,0.9229411764705883,0.9758365,0.027991745912728534,8732.800000000745,0.01599019607839485,163.09999999962747,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s021,200,200,10000,10000,0.11,0.11,0.11,0.89,0.965717,0.008176615281154298,5754,0.011480392156826223,117.09999999962747,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s022,200,200,10000,10000,0.002,0,0.001,0.9980392156862745,0.9999495,0.09619794675745241,5012.60000000149,0.009950980392156862,101.5,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s024,200,200,10000,10000,0.0077,0.01,0.00885,0.9922549019607844,0.999871,0.022071149130008825,7354.5,0.010264705882279896,104.69999999925494,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s025,200,200,10000,10000,0.0138,0.015,0.0144,0.9861764705882353,0.999263,0.012519241855496153,4926.800000000745,0.010852941176397544,110.69999999925494,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s026,200,200,10000,10000,0.0259,0.025,0.02545,0.9741176470588235,0.99648,0.06319598114151156,6238.800000000745,0.011803921568481361,120.39999999850988,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s027,200,200,10000,10000,0.05,0.05,0.05,0.95,0.9890235,0.005300234378269322,5604.4000000003725,0.012303921568627451,125.5,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s028,200,200,10000,10000,0.023,0.025,0.024,0.9769607843137255,0.997731,0.0066074726285623615,7442.5,0.008696078431299504,88.69999999925494,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s029,200,200,10000,10000,0.05,0.05,0.05,0.95,0.9908905,0.009450142911221673,9623.900000000373,0.01318627450980392,134.5,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s030,200,200,10000,10000,0.005,0.005,0.005,0.995,0.999378,0.07725070250522247,5966.200000001118,0.01478431372538063,150.7999999988824,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s031,200,200,10000,10000,0.165,0.165,0.165,0.835,0.9245865,0.01304880692460768,6924.5,0.013764705882389464,140.40000000037253,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s032,200,200,10000,10000,0.2261,0.225,0.22555,0.773921568627451,0.86200275,0.0056629051924649305,8177.5999999996275,0.012725490196151476,129.80000000074506,not_available,not_available,not_available,not_available
dsl,LightGBM Classifier,browser_lightgbm_histogram_leafwise,s033,200,200,10000,10000,0.01,0.01,0.01,0.99,0.999643,0.03764911637122837,4979.9000000003725,0.012725490195968863,129.7999999988824,not_available,not_available,not_available,not_available
